word, frequency
translucent, 1
contracted, 1
year, 1
switches, 1
reflected, 1
Black, 1
without, 1
via, 1
Whirlaway, 0
visual, 1
bay, 1
hand-to-hand_struggle, 0
gaining, 1
agreement, 1
an, 13
former, 1
persons, 2
as, 5
at, 1
triple, 1
advancement, 1
genus, 1
left, 2
Atlantic, 1
newspaper, 1
BC, 2
southern, 1
geographical, 1
be, 1
weeks, 1
Balochi, 0
facing, 1
latchkey, 0
opposition, 1
characters, 1
Keokuk, 0
Seleucus_I, 0
eucalypts, 1
by, 5
latch, 1
close, 1
a, 34
cultivated, 1
business, 1
Nazi, 1
emotional, 0
founded, 1
Nova, 1
possible, 1
right, 1
printing, 1
Centrosema_virginianum, 0
the, 38
tropical, 1
consisting, 1
s, 1
dissect, 1
sweet, 1
god, 1
treadmill, 0
essential, 1
daintily, 0
sometimes, 2
historical, 1
language, 2
do, 0
excessively, 1
farmland, 1
empty, 1
institution, 1
act, 2
post, 1
extropy, 0
vaudeville_theater, 0
prior, 1
won, 1
warning, 0
North, 2
imperfection, 1
leathery, 1
Christ, 1
which, 6
Holy_Sepulchre, 0
1905-1981, 1
its, 1
Italy, 1
exchange, 1
boasting, 1
western, 1
eucalyptus_oil, 0
gum_terpentine, 0
Alexander, 1
Afghanistan, 1
importance, 1
for, 10
back, 3
capable, 1
endless, 1
1790-1848, 1
stipulatory, 0
symbolized, 1
farmed, 1
behave, 1
preterm_baby, 0
responsible, 1
unfair, 1
soften, 1
hemisphere, 1
just, 0
human, 1
gestation, 1
over, 1
directed, 1
custom, 1
home, 1
noted, 1
travels, 1
with, 5
Speer, 0
Asia, 2
universe, 1
endogamous, 0
family, 1
taking, 1
oceanfront, 0
very, 1
practice, 1
injustice, 0
Seleucus_I_Nicator, 0
entire, 1
changing, 1
358-281, 1
nab, 0
tape, 1
alphabetic, 1
property, 1
usually, 1
Hitler, 1
if, 1
order, 2
crown, 1
violently, 1
similar, 1
period, 1
surface, 1
large, 1
luster, 0
in, 18
belt, 1
made, 1
unconventional, 1
corporation, 2
vain, 1
Macedonian, 1
is, 5
being, 4
intelligence, 1
left_atrioventricular_valve, 0
accompanied, 1
system, 1
analyze, 1
messages, 1
hand-to-hand, 1
doh, 0
whereby, 1
stemmed, 0
operates, 1
against, 1
Persian, 1
skin, 1
ventricle, 1
premie, 0
top, 1
legally, 1
orderly, 1
man, 1
characterized, 1
within, 1
Switzerland, 1
nautical, 1
prostrate, 1
names, 1
removed, 1
species, 1
machine, 1
Caribbean, 1
entity, 1
Seleucus, 0
New, 2
feet, 1
capital, 0
reigned, 1
manner, 2
office, 1
cassette, 0
body, 1
anger, 1
pig, 0
gown, 1
Hawk, 1
that, 7
rear, 1
falls, 1
shears, 1
backward, 0
different, 2
stock, 1
Sauk, 1
syllable, 1
lay, 1
monocotyledonous, 1
kings, 1
genip, 0
bluster, 0
affected, 1
cusps, 1
airily, 0
becomes, 1
genus_Radyera, 0
expand, 1
Highlands, 1
tribe, 1
naming, 1
prediction, 1
arms, 1
anatomize, 0
bog, 1
constituted, 1
no, 2
financial, 2
fruit, 1
bush, 1
combat, 1
productively, 1
ball, 1
sepulcher, 1
times, 1
oil, 1
and, 16
rot, 1
of, 37
proposition, 1
land, 1
atrium, 1
France, 1
make, 2
on, 2
or, 25
preemie, 0
performing, 1
adjacent, 1
control, 1
employment, 1
constituting, 1
followed, 1
any, 2
opening, 1
assimilation, 0
Spanish_lime, 0
spoken, 1
until, 1
mitral_valve, 0
walk, 1
United, 1
ship, 1
supply, 1
professional, 2
States, 1
worked, 1
character, 1
vaudeville_theatre, 0
clever, 0
drawing, 1
Zapotec, 1
magnetic, 1
state, 2
typing_pool, 0
greedily, 1
something, 3
quality, 1
thoroughbred, 1
Xyridales, 1
northwestern, 1
letter, 1
animal, 1
obtained, 2
choices, 1
device, 2
shines, 1
cut, 1
another, 1
professionalise, 0
two, 1
serving, 1
preterm_infant, 0
into, 1
Scottish, 1
are, 1
plants, 1
where, 1
arm, 0
situation, 1
key, 1
limits, 1
storm, 1
shear, 0
37, 1
one, 1
people, 1
Great, 1
Baluchi, 0
fish, 1
business_editor, 0
clan, 1
holds, 1
progress, 1
purple, 1
to, 11
pulp, 1
turpentine, 0
through, 1
lasts, 1
separate, 1
available, 1
rapid, 1
acquirer, 0
enclosed, 1
presentation, 1
burial, 1
leaves, 1
white, 1
solmization, 1
Jersey, 1
ut, 0
eastern, 1
ball_gown, 0
twining, 1
mentally, 1
discrete, 0
warn, 1
1941, 1
ocean, 1
especially, 3
ethically, 1
marrying, 1
playing, 1
disputation, 0
region, 1
65, 1
grapes, 1
mellow, 1
premature_infant, 0
needed, 1
recording, 1
proper, 2
polls, 0
video, 1
life, 1
situated, 1
Russia, 1
not, 1
hibiscus, 1
now, 1
migrator, 0
throughout, 1
statement, 1
gulf, 1
cultivable, 0
70, 1
Iranian, 1
large-flowered, 1
vote, 2
news, 1
unjust, 1
green, 1
Albert_Speer, 0
technology, 1
suddenly, 1
way, 1
Zapotecan, 0
what, 2
premature_baby, 0
Zoroastrian, 1
time, 2
fireside, 0
acknowledgment, 0
stem, 1
container, 1
flippant, 1
delicate, 1
leader, 1
Mayacaceae, 0
Rhizopus, 1
southwestern, 1
during, 1
transmitted, 1
infant, 1
Savoy, 0
when, 1
Iran, 1
enable, 1
payment, 1
typists, 1
cash, 1
between, 4
Holy_Sepulcher, 0
give, 1
Brunswick, 1
flowers, 1
having, 1
worn, 1
overhead, 0
work, 1
toward, 1
cultivatable, 0
duchy, 1
light, 1
resourceful, 1
tonic, 1
valve, 1
stated, 1
rhizopus, 0
family_Mayacaceae, 0
habitats, 1
disjuncture, 0
seize, 1
architect, 1
exercise, 1
German, 1
birds, 1
fireplace, 1
Radyera, 0
linguistic, 1
flaw, 0
aided, 1
writing, 1
acknowledging, 1
pines, 1
eat, 1
place, 2
bicuspid_valve, 0
levity, 1
editor, 1
performers, 1
railroad, 1
Scotia, 1
born, 1
Bay_of_Fundy, 0
great, 2
tillable, 0
music_hall, 0
emotion, 1
conifers, 1
soldier, 1
fungi, 1
Zurvan, 0
juicy, 1
first, 2
small, 1
door, 1
booking, 0
quick, 1
shrubs, 1
sound, 3
used, 3
space, 1
disconnected, 1
major, 1
theater, 1
inappropriate, 1
only, 1
emphasis, 1
light-mindedness, 0
from, 3
vine, 1
group, 1
raising, 1
like, 1
pertaining, 2
Highlander, 0
particular, 1
vaudeville, 1
flippancy, 0
resurrection, 1
formal, 2
most, 1
outside, 1
person, 1
eaten, 1
who, 6
note, 1
jog, 1
one-inch, 1
line, 1
part, 2
switchman, 0
weakly, 1
distinct, 0
scale, 1
engaging, 1
general, 1
can, 3
causing, 1
Pakistan, 1
hearth, 0
America, 1
stipulation, 1
inaccessibility, 0
retaking, 0
process, 1
limited, 1
will, 1
alternative, 0
groups, 1
regiment, 1
staged, 1
hail, 1
hailstorm, 0
tides, 1
bordering, 1
someone, 1
round, 1
various, 1
Minor, 1
standstill, 0
fitting, 1
